,Al CN Avg,Al CN Max,Al CN Min,Al-Al NN1 BL Avg,Al-Al NN1 BL Max,Al-Al NN1 BL Min,Al-Ga NN1 BL Avg,Al-Ga NN1 BL Max,Al-Ga NN1 BL Min,Al-In NN1 BL Avg,Al-In NN1 BL Max,Al-In NN1 BL Min,Al-O NN1 BL Avg,Al-O NN1 BL Max,Al-O NN1 BL Min,Ga CN Avg,Ga CN Max,Ga CN Min,Ga-Al NN1 BL Avg,Ga-Al NN1 BL Max,Ga-Al NN1 BL Min,Ga-Ga NN1 BL Avg,Ga-Ga NN1 BL Max,Ga-Ga NN1 BL Min,Ga-In NN1 BL Avg,Ga-In NN1 BL Max,Ga-In NN1 BL Min,Ga-O NN1 BL Avg,Ga-O NN1 BL Max,Ga-O NN1 BL Min,In CN Avg,In CN Max,In CN Min,In-Al NN1 BL Avg,In-Al NN1 BL Max,In-Al NN1 BL Min,In-Ga NN1 BL Avg,In-Ga NN1 BL Max,In-Ga NN1 BL Min,In-In NN1 BL Avg,In-In NN1 BL Max,In-In NN1 BL Min,In-O NN1 BL Avg,In-O NN1 BL Max,In-O NN1 BL Min,O CN Avg,O CN Max,O CN Min,O-Al NN1 BL Avg,O-Al NN1 BL Max,O-Al NN1 BL Min,O-Ga NN1 BL Avg,O-Ga NN1 BL Max,O-Ga NN1 BL Min,O-In NN1 BL Avg,O-In NN1 BL Max,O-In NN1 BL Min,O-O NN1 BL Avg,O-O NN1 BL Max,O-O NN1 BL Min,id,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,4.9,6.0,4.0,3.196746037225563,3.2420689063033605,3.095428210509393,3.1996905679497223,3.391467927171857,3.1365131818350505,,,,1.9149167346948572,2.000788678709864,1.8192355972920609,5.166666666666667,6.0,4.0,3.194492755413373,3.2506053673955946,3.1537731004840723,3.1591784417154423,3.293489591422212,2.9437963765920685,,,,1.9240915096893483,2.000788678709864,1.819235597292061,,,,,,,,,,,,,,,,3.6666666666666665,5.0,3.0,1.9796403004555414,3.585464729525829,1.7816654099806677,2.2354781388683747,3.8444290209308427,1.7816540926822984,,,,2.850240821884782,2.9006110199852704,2.7973438797913857,1,9.95208772,-0.04724824,-0.03465793,0.04031599,8.55117485,-0.00953377,0.03164038,0.00966592,9.17743912
0,5.384615384615385,6.0,5.0,3.3332300740002854,3.47922721982403,3.1260060559381975,3.364174357388824,3.420036770201659,3.2437361919522343,,,,1.9445022802170568,2.075201517803829,1.8628152660846553,5.578947368421052,6.0,5.0,3.380151298967765,3.4790851535153418,3.2143036579487254,3.3571127457210843,3.4788429130543514,3.214165406376238,,,,1.9857757157839686,2.075201517803829,1.8628152660846553,,,,,,,,,,,,,,,,3.6666666666666665,4.0,3.0,2.2758648855527923,4.3145528680681435,1.8047448147067189,2.0194357481540477,2.974140299434132,1.8046107844995816,,,,2.829559852810535,2.8377029878879236,2.8132736078724223,10,6.25123334,0.0790678,0.05805241,-3.19422365,5.37436961,-0.00939424,-0.21948297,-0.09717984,23.79191158
0,6.0,6.0,6.0,3.2612401595056073,3.4068329200807215,3.0539254790737953,3.272679368751738,3.3821610970792726,3.1769636664867016,,,,1.9866999436737585,1.991778530256265,1.9664156830080632,6.0,6.0,6.0,3.2754385818982024,3.4099234811919543,3.1639054917828333,3.2688562785163953,3.3800169593557894,3.1154938016774043,,,,1.9843214448646553,1.9917785302562645,1.966415683008064,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.0653676807013497,3.929096128802474,1.9406666543018412,2.0608080485740867,3.8225871738822796,1.9406987510787996,,,,2.762349548370668,2.7623650004035185,2.7623307047435453,100,9.20717991,0.02721596,-0.03288724,-0.0264416,9.20684581,0.0200757,0.03221368,-0.02071316,9.20668219
0,6.0,6.0,6.0,3.363558817385099,3.3635733425610983,3.3635442922090997,,,,3.647093152643066,3.6470962911955036,3.6470894973479226,2.1908334325318837,2.1908349602425594,2.1908322022263227,,,,,,,,,,,,,,,,6.0,6.0,6.0,4.318990817402969,6.283226237496805,3.507808835729827,,,,3.5900037848776507,3.6157992063696107,3.5503690063551603,2.182874287759146,2.1908370658519187,2.1629703933035356,4.0,4.0,4.0,3.6902183687450734,5.734629947003847,2.13472113294412,,,,2.1815621694712677,2.200254749605144,2.1488358505994003,3.038430314887487,3.0384346684740553,3.038424709886206,1000,10.12713224,-0.00249564,0.00534644,0.00261064,10.12702271,0.00545571,-0.00546781,-0.00554381,10.1273378
0,5.571428571428571,6.0,5.0,3.335925286895576,3.3872168249019308,3.267171785008006,3.3111665055664083,3.447522474468156,3.087238703655233,,,,1.9623450345681546,2.0517055376779667,1.8431977142856464,5.363636363636363,6.0,5.0,3.3099026185323783,3.3443722421835558,3.2670698703282333,3.356138767365763,3.447608240847293,3.2670081281179617,,,,1.9190187325314816,2.0517055376779663,1.8431977142856462,,,,,,,,,,,,,,,,3.6666666666666665,4.0,3.0,1.9482910992965,2.0519597106753373,1.7822946643414843,2.255235944635649,4.113586011003229,1.7821332841277489,,,,2.7988276075598724,2.8069230109907584,2.782636830258398,1001,6.16986512,0.22651281,0.07501734,-3.28160514,5.22998787,-0.00976788,-0.28098507,-0.14110381,23.60311721
0,5.571428571428571,6.0,5.0,3.540987031333923,3.635134143508136,3.493708982868654,3.748274138977205,4.944478930193418,3.3524448348013625,3.5376142405376783,3.578761307317543,3.4938181312343968,2.104495336338331,2.2066630884836287,1.968271686057226,5.125,6.0,5.0,4.73482047516542,6.9971361500464395,3.4466242891387444,3.423032571798986,3.6351049224400915,3.3522394235660213,3.561830980702561,3.59492652086781,3.446897168190761,1.9980706113605269,2.2066630884836287,1.968271686057226,5.647058823529412,6.0,5.0,3.811372613388456,6.451450135445822,3.3524448348013625,3.565982150370065,3.6356571159943996,3.352410258663731,3.522402450120279,3.6353663575498123,3.4230769088350086,2.122524936261744,2.206663088483629,1.9682716860572262,3.6666666666666665,4.0,3.0,3.2634626773843416,6.997097623853155,1.9353613452838732,2.871474000032078,4.861647428973612,1.9353613452838732,2.2286164094446907,4.194602051929808,1.9353613452838736,2.997871155107067,3.006159196882211,2.981295088868384,1002,6.7045924,0.02971062,0.0179333,-3.37691838,5.79158372,0.03591658,-0.06561796,-0.19644316,24.61666086
0,6.0,6.0,6.0,3.253297803391762,3.301524376769893,3.204770006053701,3.2571060910684335,3.4825623692145316,3.0450087361539997,,,,1.9720574332529077,1.9832754182146497,1.9580239076542305,6.0,6.0,6.0,3.2535616041075515,3.326760427199202,3.1807452468001283,3.2637679821642256,3.3368112090961457,3.1907960286970716,,,,1.9832662114051798,1.9832754182146501,1.9832577943394467,,,,,,,,,,,,,,,,4.0,4.0,4.0,1.9682903690392297,1.9954312716417628,1.945229113209126,2.21351357148752,3.9867464954038425,1.932425344390867,,,,2.7505581010242977,2.7505730699611344,2.750540039379192,1003,9.1678977,0.02774968,-0.03316988,-0.02708204,9.16748544,0.01996742,0.03252655,-0.02053844,9.16741519
0,6.0,6.0,6.0,3.0654610338818675,3.18047215316407,2.9273927270950866,,,,4.045728495715705,5.667197439386825,2.870024618506999,2.0314214954577774,2.0314215048073314,2.031421475440325,,,,,,,,,,,,,,,,6.0,6.0,6.0,3.276174616766076,3.6823246225087267,2.870024618506998,,,,3.0539324286026255,3.1804721380610603,2.9273927191441906,2.0314214881165533,2.0314215048073314,2.0314214714257757,4.0,4.0,4.0,2.3346526307327196,3.8508180647521444,2.0313060914784353,,,,3.2875940069319967,5.929756368086086,2.0313060591336822,2.7974149073429606,2.7974235566210357,2.797407991101601,1004,5.06734967,0.03055913,0.00510067,-2.5601102,4.37284465,-0.00863621,-0.01632059,0.02012857,13.66675933
0,6.0,6.0,6.0,2.888735610775382,3.137474688666723,2.749901670756874,2.8887356179275203,3.137474698202909,2.7499016707568735,,,,1.9944164088423215,1.9944164247247589,1.9944163945363689,6.0,6.0,6.0,3.390515003818161,3.9797609793979727,2.749901670756875,2.965601826425231,3.668522988271933,2.749901670756873,,,,1.994416415207415,1.9944164247247593,1.9944163913848383,,,,,,,,,,,,,,,,4.0,4.0,4.0,2.550586054386407,3.7853948858991275,1.9356744326991617,1.9976786571302212,2.053295804557461,1.9356476217495244,,,,2.7572442992749284,2.7572557447279986,2.7572329478921116,1005,4.97717523,0.02237726,0.00053896,-2.50779647,4.29879141,-0.00525655,-0.0029715,0.01603542,13.45931542
0,5.04,6.0,4.0,3.199274380390835,3.3530436816866294,3.0958478760001165,3.3329398507835744,5.190744859068285,3.0269671495534767,3.9103590649169977,5.699448641563862,2.9146365026625958,1.9260402419923315,1.9992661841475716,1.8178885041545567,4.8,6.0,4.0,3.1714952876191336,3.2253917832222747,3.0923818603549034,3.566910981651895,4.58720886497299,3.2979268321600985,4.489226010198134,5.818511734950754,3.1586107973768867,1.8746028769338303,1.9596664608324115,1.8178909385961621,5.0,6.0,4.0,3.201137745037781,3.2171991246972023,3.185076365378359,3.233260901595425,3.290190899117083,3.176330904073767,3.31986504785846,3.31986504785846,3.31986504785846,1.9085772344387455,1.9992612441596007,1.8178932247178903,3.6666666666666665,5.0,3.0,1.9470969892682943,2.1682287694289224,1.7809221264897037,2.838996120092886,4.837642222937924,1.7809342421616419,3.8702772265482057,6.003005789481344,1.780922126489702,2.8481105285860555,2.898434374711534,2.7952689180593158,1006,9.94841689,-0.03722581,-0.0304292,0.03174125,8.54135588,-0.0091757,0.02773307,0.00905331,9.17083925
