,id,Hull Volume,Hull Volume 1-2,Hull Volume 1-3,Hull Volume 2-3,Hull Volume Per Atom,Hull Volume 1-2 Per Atom,Hull Volume 1-3 Per Atom,Hull Volume 2-3 Per Atom,Unique 1,Unique 2,Unique 3,Clusters,Clusters Per Atom,Clusters 1-2,Clusters 1-3,Clusters 2-3,Clusters 1-2 Per Atom,Clusters 1-3 Per Atom,Clusters 2-3 Per Atom
0,1,552.226781938789,102.92310075350419,94.85620497103969,84.12362767374218,6.902834774234863,1.2865387594188022,1.1857025621379962,1.0515453459217772,80,74,74,47,0.5875,60,1,55,0.75,0.0125,0.6875
0,10,452.2945702178426,154.05202812522978,106.21254302095308,23.20961358131835,5.653682127723032,1.9256503515653722,1.3276567877619134,0.29012016976647936,79,80,72,13,0.1625,45,56,12,0.5625,0.7,0.15
0,100,528.9791756392137,95.89629955504338,85.36881384322072,85.36422773079958,6.612239695490172,1.1987037444380424,1.067110173040259,1.067052846634995,73,71,67,51,0.6375,52,60,57,0.65,0.75,0.7125
0,1000,703.9641130969014,116.02120116426559,102.92861704557593,103.43749718844123,8.799551413711267,1.4502650145533198,1.2866077130696991,1.2929687148555153,74,68,40,31,0.3875,54,55,57,0.675,0.6875,0.7125
0,1001,437.63847614278677,150.94037775876112,104.05977648217774,22.634948747511046,5.470480951784834,1.886754721984514,1.3007472060272218,0.28293685934388807,78,80,72,17,0.2125,46,52,12,0.575,0.65,0.15
0,1002,538.2102869682118,170.92338332853726,117.87276562477945,26.707699594906742,6.7276285871026476,2.1365422916067156,1.4734095703097432,0.3338462449363343,79,80,78,16,0.2,50,49,12,0.625,0.6125,0.15
0,1003,522.234002336183,95.0796085137421,85.20422202079183,83.96046270892109,6.527925029202288,1.1884951064217764,1.065052775259898,1.0495057838615136,77,73,66,39,0.4875,53,1,52,0.6625,0.0125,0.65
0,1004,159.5274465135649,66.30898976215482,44.87942917055818,17.912110106929838,5.3175815504521635,2.210299658738494,1.4959809723519395,0.5970703368976612,30,30,9,20,0.6666666666666666,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,1005,152.77506044505887,64.383652416652,43.64878309271523,17.39790368321797,5.092502014835295,2.1461217472217333,1.454959436423841,0.5799301227739323,30,30,9,19,0.6333333333333333,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,1006,550.9864481058659,102.76961872458084,94.69963511119724,83.93280860700605,6.887330601323323,1.2846202340572606,1.1837454388899655,1.0491601075875756,80,74,77,43,0.5375,62,50,1,0.775,0.625,0.0125
0,1007,477.639054940699,140.88856479358105,60.609230064957075,45.58816321579152,7.9606509156783165,2.348142746559684,1.0101538344159513,0.759802720263192,60,60,57,33,0.55,45,45,30,0.75,0.75,0.5
0,1008,144.24826335486162,62.07655119453476,42.08524536764677,16.683923422547252,4.808275445162054,2.0692183731511586,1.4028415122548923,0.5561307807515751,30,30,9,21,0.7,29,25,16,0.9666666666666667,0.8333333333333334,0.5333333333333333
0,1009,55.481879617377786,42.51138080327787,17.980385078988096,6.652525017315082,2.7740939808688894,2.1255690401638936,0.8990192539494049,0.3326262508657541,20,20,2,15,0.75,19,7,3,0.95,0.35,0.15
0,101,723.90721036378,118.20207429015373,102.99020916390324,106.33685262756543,9.04884012954725,1.4775259286269216,1.2873776145487905,1.329210657844568,74,70,33,48,0.6,49,63,59,0.6125,0.7875,0.7375
0,1010,597.4294241309453,108.6313628340862,99.96866454487107,88.22113849538275,7.4678678016368165,1.3578920354260775,1.2496083068108885,1.1027642311922843,79,79,75,47,0.5875,55,1,54,0.6875,0.0125,0.675
0,1011,492.21604978405463,119.22522064158768,105.19675877054063,25.334300887832903,6.152700622300683,1.490315258019846,1.3149594846317578,0.31667876109791127,40,4,40,19,0.2375,14,40,7,0.175,0.5,0.0875
0,1012,170.29111557388075,148.5570243952394,28.65533154359182,17.98481162908087,4.2572778893470185,3.7139256098809854,0.7163832885897955,0.44962029072702175,40,40,33,14,0.35,39,28,31,0.975,0.7,0.775
0,1013,542.6432914568886,97.54005989857775,85.33646075564144,87.83548631873336,6.783041143211108,1.219250748732222,1.066705759445518,1.097943578984167,75,66,69,48,0.6,50,55,56,0.625,0.6875,0.7
0,1014,643.1671832834832,109.2417237594226,98.09029218968153,95.9630010944639,8.03958979104354,1.3655215469927824,1.226128652371019,1.1995375136807989,69,76,41,54,0.675,54,1,60,0.675,0.0125,0.75
0,1015,723.90721036378,118.20207429015373,102.99020916390324,106.33685262756543,9.04884012954725,1.4775259286269216,1.2873776145487905,1.329210657844568,74,70,33,52,0.65,50,44,62,0.625,0.55,0.775
0,1016,515.9033419314006,166.6372542577528,114.91086111029463,25.815157400627136,6.448791774142508,2.08296567822191,1.436385763878683,0.3226894675078392,78,80,74,11,0.1375,46,52,12,0.575,0.65,0.15
0,1017,522.234002336183,95.0796085137421,85.20422202079183,83.96046270892109,6.527925029202288,1.1884951064217764,1.065052775259898,1.0495057838615136,77,73,66,49,0.6125,43,1,50,0.5375,0.0125,0.625
0,1018,644.5497742262404,109.39797246868866,94.44136698276654,98.66882188252033,8.056872177828005,1.3674746558586084,1.1805170872845818,1.2333602735315041,76,68,60,42,0.525,52,50,61,0.65,0.625,0.7625
0,1019,422.1456052929351,147.58690021194965,101.7379868870209,22.028612591599988,5.276820066161688,1.8448362526493707,1.271724836087761,0.27535765739499984,79,79,72,15,0.1875,45,51,12,0.5625,0.6375,0.15
0,102,578.6591886769779,101.8086163290719,87.94561290112067,91.99533661180814,7.233239858462224,1.2726077041133987,1.0993201612640084,1.1499417076476017,76,72,64,56,0.7,50,49,62,0.625,0.6125,0.775
0,1020,557.1156685760054,174.4394094966022,120.3038847059685,27.477629833212934,6.963945857200068,2.1804926187075275,1.5037985588246063,0.3434703729151617,78,80,72,11,0.1375,49,52,12,0.6125,0.65,0.15
0,1021,517.7692309428558,94.53706944423658,84.95542441090052,82.9709958636772,6.472115386785697,1.1817133680529572,1.0619428051362565,1.037137448295965,77,77,63,38,0.475,49,1,60,0.6125,0.0125,0.75
0,1022,718.0337586412475,117.5619130577651,102.26328042621866,105.80484347744144,8.975421983015593,1.4695239132220637,1.2782910053277332,1.3225605434680179,69,69,30,44,0.55,54,52,61,0.675,0.65,0.7625
0,1023,513.3299840091615,93.99606792778256,84.57600047295382,81.85894054866836,6.416624800114519,1.174950849097282,1.0572000059119229,1.0232367568583545,75,79,67,35,0.4375,52,1,1,0.65,0.0125,0.0125
0,1024,164.43005623481216,67.51198613991193,45.768659173036475,18.330039165783987,5.481001874493739,2.250399537997064,1.5256219724345492,0.6110013055261329,30,30,9,19,0.6333333333333333,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,1025,720.8056847519056,117.86427140638806,101.86676209647422,106.18104736292973,9.01007105939882,1.4733033925798507,1.2733345262059277,1.3272630920366217,67,70,31,56,0.7,52,57,56,0.65,0.7125,0.7
0,1026,630.0970952632986,107.75680051441448,97.16054682662987,93.26626109241538,7.876213690791232,1.346960006430181,1.2145068353328734,1.1658282636551922,72,74,42,30,0.375,54,60,64,0.675,0.75,0.8
0,1027,723.90721036378,118.20207429015373,102.99020916390324,106.33685262756543,9.04884012954725,1.4775259286269216,1.2873776145487905,1.329210657844568,74,70,33,38,0.475,54,53,58,0.675,0.6625,0.725
0,1028,146.1563164481899,62.60804159448174,42.44540070909954,16.838797313937913,4.871877214939663,2.086934719816058,1.4148466903033179,0.5612932437979304,30,30,9,17,0.5666666666666667,29,24,14,0.9666666666666667,0.8,0.4666666666666667
0,1029,162.36587701972977,66.96011244075115,45.39470838123369,18.168376902724454,5.412195900657659,2.232003748025038,1.513156946041123,0.6056125634241485,30,30,9,18,0.6,29,24,17,0.9666666666666667,0.8,0.5666666666666667
0,103,517.7692309428558,94.53706944423658,84.95542441090052,82.9709958636772,6.472115386785697,1.1817133680529572,1.0619428051362565,1.037137448295965,77,77,63,49,0.6125,50,1,54,0.625,0.0125,0.675
0,1030,554.3010787606369,98.93285384515971,89.39101851320471,85.52903118339225,6.928763484507961,1.2366606730644965,1.1173877314150589,1.0691128897924032,71,79,48,46,0.575,49,1,40,0.6125,0.0125,0.5
0,1031,168.0299572197233,141.55792625417715,27.549216060699944,16.86800605827751,4.2007489304930825,3.5389481563544285,0.6887304015174986,0.42170015145693773,40,40,38,15,0.375,39,19,31,0.975,0.475,0.775
0,1032,168.2414567929429,68.42098981600823,46.43663203526269,18.661920009231068,5.608048559764764,2.2806996605336076,1.5478877345087563,0.6220640003077023,30,30,9,20,0.6666666666666666,29,24,14,0.9666666666666667,0.8,0.4666666666666667
0,1033,556.0940691928438,99.14604422405083,89.1950303946706,86.43959141898608,6.951175864910548,1.2393255528006353,1.1149378799333824,1.0804948927373261,76,74,61,44,0.55,53,1,57,0.6625,0.0125,0.7125
0,1034,162.26894568458616,138.35164027319155,26.885780416999097,16.473062049049837,4.056723642114654,3.458791006829789,0.6721445104249775,0.4118265512262459,40,40,37,10,0.25,39,18,29,0.975,0.45,0.725
0,1035,687.0756012176387,114.15823436943492,102.01599782774724,101.04386294246822,8.588445015220483,1.4269779296179366,1.2751999728468406,1.2630482867808528,70,71,35,52,0.65,53,50,51,0.6625,0.625,0.6375
0,1036,420.54457633685547,129.802495169759,55.76233307312938,41.64080456187225,7.009076272280924,2.1633749194959835,0.9293722178854897,0.6940134093645375,60,60,56,40,0.6666666666666666,45,54,32,0.75,0.9,0.5333333333333333
0,1037,149.32533736683695,63.45583987051021,43.01999987837833,17.110499495646923,4.977511245561232,2.11519466235034,1.4339999959459442,0.5703499831882308,30,30,9,23,0.7666666666666667,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,1038,704.0982464116053,121.56457541631895,111.53110212511251,97.498765807251,8.801228080145066,1.5195571927039868,1.3941387765639064,1.2187345725906376,75,76,79,45,0.5625,58,62,51,0.725,0.775,0.6375
0,1039,158.56065083857695,66.00644246158042,44.6771064526624,17.857462681167373,5.285355027952565,2.2002147487193473,1.4892368817554134,0.5952487560389125,30,30,9,19,0.6333333333333333,29,24,19,0.9666666666666667,0.8,0.6333333333333333
0,104,394.9975395701682,126.46394858332782,54.73535409688952,39.563666279547874,6.58329232616947,2.107732476388797,0.9122559016148254,0.6593944379924646,60,54,54,41,0.6833333333333333,45,44,34,0.75,0.7333333333333333,0.5666666666666667
0,1040,703.9641130969014,116.02120116426559,102.92861704557593,103.43749718844123,8.799551413711267,1.4502650145533198,1.2866077130696991,1.2929687148555153,74,68,40,52,0.65,51,51,62,0.6375,0.6375,0.775
